Feature,Chi2,p-value
Unique id,343628.0,0.49775427633829
channel_name,199.91187547222546,6.669001520780051e-39
category,860.8854632341543,4.860086707285712e-152
Sub-category,3088.985632997914,0.0
Customer Remarks,91134.32563691266,0.0
Order_id,270700.00000000006,0.4974697926133485
order_date_time,56856.04078070343,4.2409601439568935e-08
Issue_reported at,123037.95862091224,0.9045490003965253
issue_responded,121647.63995853644,0.11006725013421409
Survey_response_Date,270.25793603863474,1.3531872008881554e-13
Customer_City,7455.242228248257,0.003083936869296311
Product_category,224.29675164907758,9.697459153266958e-31
Agent_name,10130.456047843112,1.9227425038332774e-281
Supervisor,773.1968614006232,1.8016102526000258e-82
Manager,359.2841953640142,5.4265978195460163e-64
Tenure Bucket,236.1914254090883,3.4768598450380385e-41
Agent Shift,179.4292065723093,1.0962316007831667e-29
Response_Duration_Bin,2409.2037514308336,0.0
CSAT_Bin,171814.00000000003,0.0
